noteType,pivotType,pivotX,pivotY,pivotZ,direction,speed,bar,4th,8th,16th,3rd,6th,12th,24th
0,노트 타입이 0이면 주석임,,,,,,,,,,,,,
0,"피벗 타입 : World, Player123, PlayerM, Playerm, Boss",,,,,,,,,,,,,
0,,피벗 XYZ는 해당 피벗으로부터의 오프셋,,,,,,,,,,,,
0,,,,,,스피드는 1~4가 있는데 1에 가까울수록 노트 등장부터 실제 데미지까지 시간이 짧음,,,,,,,,
0,-1,: 보스 이동,,,,100,: 파동 장판 흔들림 (speed가 흔들리는 정도임),,,,,,,
0,3,: 패턴 3번(장판),,,,101,: 일직선 장판 흔들림,,,,,,,
0,4,: 패턴 4번(장판),,,,,,,,,,,,
0,99,: 단일 장판 공격,,,,,200,아이템,,,,,,
0,5,: 가장 멀리있는 적에게 물줄기 발사,,,,,,U,점수,,,,,
0,6,: 보스가 보는 방향으로 지진,,,,,,D,트루뎀,,,,,
0,10,: 패링가능 유도공격,,,,,,LD,공증,,,,,
0,-600,: 게임 종료,,,,,,RD,방증,,,,,
0,-2,: (client only) 보스 회전,,,,,,LU,체력 회복,,,,,
0,600,": (client only) 게임 시작 패널 출력, 601 -> 패널 삭제",,,,,,RU,,,,,,
0,700,: (client only) 이 시간 이전에는 이동 노트 없음,,,,,,,,,,,,
0,999,: 세팅 정보,,,,,,,,,,,,
0,1000~,: (client only) 보스 공격 애니메이션 출력 (스피드는 2 또는 3),,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,bpm,scr Speed,J Timing,songName,BossHP,,,,,,,,,
999,45,0.3,150,flower_load,200,,,,,,,,,
0,,,,,,,,,,,,,,
-1,World,0,-5,5,D,1,0,0,0,1,,,,
600,UI,0,0,0,U,1,0,0,0,1,,,,
601,UI,0,0,0,U,1,1,0,,,,,,
0,노래 시작,,,,,,,,,,,,,
700,World,0,0,0,U,0,2,,,,,,,
-1,World,2,-2,0,D,2,2,0,,,,,,
0,,,,,,,,,,,,,,
606,World,20,1,-21,U,1,3,,,,,,,
200,World,-3,6,-3,LU,3,,,,,,,,
200,World,12,-10,-2,U,3,,,,,,,,
99,Player1,0,0,0,U,3,3,,,,,,,
